sample_id,sample_site_name,sample_site_code,grab_compo_ind,timestamp_sample_collected,timestamp_sample_received,sample_ph_pre_ansis,conductivity_ms_cm,ammonia_mg_l,ophosph_mg_l,Turbidity,AM_CrAss_gc_l,PEG_CrAss_gc_l,SN_CrAss_gc_l,AM_phi6_Rec%,AM_phi6_Rec%_rerun,PEG_phi6_Rec%,PEG_phi6_Rec%_rerun,AM_N1_SARS_gc_l,PEG_N1_SARS_gc_l,AM_FluA_gc_l,PEG_FluA_gc_l,AM_EV_gc_l,PEG_EV_gc_l,AM_EVD68_gc_l,PEG_EVD68_gc_l,AM_NoVGI_gc_l,PEG_NoVGI_gc_l,AM_NoVGII_gc_l,PEG_NoVGII_gc_l,AM_MeV_gc_l,PEG_MeV_gc_l,AM_RoV_gc_l,PEG_RoV_gc_l,AM_RSVA_gc_l,PEG_RSVA_gc_l,AM_RSVB_gc_l,PEG_RSVB_gc_l
17925,LANCASTER (STODDAY) STW,UKENNW_UU_TP000076,Grab,2021-11-17T00:00:00Z,2021-11-18T00:00:00Z,7.28,1631,37.95,3.96,5.34,2.91E+08,7.74E+06,3.71E+08,0.03,,0.11,,3498,2510,0,0,0,0,0,0,0.000,0,245.02478,910.3032,0,0,0,0,0,detected,0,0
17926,NEWCASTLE  (Howdon) STW,UKENNE_NU_TP000031,Composite,2021-11-17T07:00:00Z,2021-11-18T00:00:00Z,7.5,1162,35.23,2.24,37.3,2.78E+08,2.54E+07,5.35E+08,0.03,,#VALUE!,0.00,29790,4338,0,0,0,8240,0,0,11388.883,5341.362,597.1323,690.5166,0,0,0,0,0,0.000,0,0
17927,LONDON (Mogden STW),UKENTH_TWU_TP000113,Grab,2021-11-17T09:00:00Z,2021-11-18T00:00:00Z,7.47,1207,31.96,2.21,42.1,1.98E+08,3.56E+06,5.48E+08,0.05,,0.34,,66054,44128,0,0,26855,45948,0,0,46365.813,46034.89333,794.5925,3411.551,0,0,0,0,detected,detected,0,0
17928,LONDON (Mogden STW),UKENTH_TWU_TP000113,Grab,2021-11-17T10:00:00Z,2021-11-18T00:00:00Z,7.61,1163,33.39,1.75,25.6,1.16E+08,1.59E+07,3.49E+08,0.02,,0.11,,34244,6766,0,0,5173,4568,0,0,65753.540,14954.18267,492.9865,1957.7163,0,0,0,0,detected,0.000,0,0
17929,PORTSMOUTH AND HAVANT,UKENSO_SW_TP000004,Composite,2021-11-17T07:45:00Z,2021-11-18T00:00:00Z,7.42,2177,50.85,2.2,19.8,1.38E+08,3.84E+07,3.02E+08,0.05,,0.17,,28453,10094,0,0,37927,47211,0,0,76883.087,48808.77667,542.96826,1489.5369,0,0,0,0,0,0.000,0,0
17930,HULL STW,UKENNE_YW_TP000095,Composite,2021-11-17T07:00:00Z,2021-11-18T00:00:00Z,7.41,558.1,72.1,3.56,49.1,8.04E+07,4.44E+07,4.63E+08,0.00,0.00,0.42,,41472,22354,0,0,66743,64905,0,0,0.000,5472.910667,121.26435,0,0,0,0,0,detected,0.000,0,0
17931,BARNOLDSWICK STW,UKENNW_UU_TP000011,Grab,2021-11-17T08:00:00Z,2021-11-18T00:00:00Z,7.28,1053,48.43,2.91,60,4.12E+07,3.58E+06,1.47E+08,0.01,,0.02,0.00,7253,1719,0,0,30925,60100,0,0,0.000,0,481.2173,0,0,0,0,0,0,detected,0,0
17932,CRAMLINGTON STW,UKENNE_NU_TP000020,Composite,2021-11-17T07:00:00Z,2021-11-18T00:00:00Z,7.67,829.3,45.42,2.24,40,2.30E+07,3.47E+06,9.75E+07,0.03,,0.00,0.00,24646,19827,0,0,21468,52396,0,0,350466.967,334464.72,1056.3402,1886.0698,0,0,0,0,detected,detected,0,0
17933,Fleetwood and Blackpool (Fleetwood Marsh) STW,UKENNW_UU_TP000050,Grab,2021-11-17T08:00:00Z,2021-11-18T00:00:00Z,7.82,2091,152.16,2.72,32.4,9.35E+07,4.38E+07,3.27E+08,0.01,,0.68,,8616,22403,0,0,8175,138018,0,0,54984.687,99478.62,7769.7,942.921,0,0,0,0,detected,0.000,0,0
18015,HULL STW,UKENNE_YW_TP000095,Composite,2021-11-19T00:00:00Z,2021-11-20T00:00:00Z,7.28,1834,43.87,3.83,135,2.20E+08,1.44E+08,4.72E+09,0.02,,0.00,,25956,7281,0,0,0,859,0,0,12220.756,2708.459333,821.40857,NA,0,0,0,0,0,detected,0,0
